# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	289
#@/user_id	TAKUSEI-DESKTOP
a 	啊	c=1 d=1 t=90
she zhi 	設置	c=2 d=1 t=289
sheng cheng 	生成	c=0 d=0.1 t=234
sheng cheng dai ma 	生成代碼	c=1 d=1 t=235
shi 	是	c=4 d=3.42943 t=68
shi bie 	識別	c=2 d=1.91724 t=140
shi bie ma 	識別碼	c=1 d=1 t=278
shi hou 	時候	c=1 d=1 t=72
shi wen 	室溫	c=0 d=0.1 t=111
shi wen chao dao 	室溫超導	c=1 d=1 t=112
shi zhe 	試着	c=1 d=1 t=24
shou ji 	手機	c=0 d=0.1 t=76
shu ru fa 	輸入法	c=4 d=2.66678 t=289
shu zi 	數字	c=1 d=1 t=180
shuang pin 	雙拼	c=1 d=1.18461 t=282
shuo 	說	c=1 d=1 t=110
su qi 	俗氣	c=0 d=0.1 t=225
suan le 	算了	c=1 d=1 t=251
ta 	他	c=4 d=3.65498 t=98
ta men 	他們	c=1 d=1 t=182
tan wu 	貪污	c=0 d=0.1 t=66
tian jia 	添加	c=0 d=0.1 t=151
tiao guo 	跳過	c=1 d=1 t=242
tou ming 	透明	c=0 d=0.1 t=115
tou ming jian mao 	透明鍵帽	c=1 d=1 t=116
tu qi 	突起	c=1 d=1.04176 t=132
wan 	玩	c=0 d=0.1 t=76
wan shou ji 	玩手機	c=2 d=1.99501 t=78
wang you 	網友	c=1 d=1.08395 t=55
wei 	爲	c=1 d=1 t=141
wei ruan 	微軟	c=1 d=1.16816 t=289
wei ruan pin yin 	微軟拼音	c=3 d=2.07535 t=289
wei ruan shuang pin 	微軟雙拼	c=1 d=1 t=283
wei ruan ya hei 	微軟雅黑	c=3 d=2.6306 t=261
wen dang 	文檔	c=1 d=1 t=195
wen jian 	文件	c=2 d=1.94649 t=230
wen ti 	問題	c=1 d=1 t=260
wo 	我	c=8 d=4.50101 t=252
wo ba 	我把	c=1 d=1 t=274
wo chao 	我超	c=4 d=2.41006 t=288
wo chao 	窩巢	c=1 d=1 t=13
wo de 	我的	c=1 d=1 t=47
wo gan jiao 	我感覺	c=1 d=1 t=123
wo men 	我們	c=1 d=1 t=36
wo shi 	我是	c=1 d=1 t=19
wo xian zai 	我現在	c=1 d=1 t=52
wo you 	我有	c=0 d=0.1 t=255
wo you dong xi 	我有東西	c=1 d=1 t=256
wo zen me 	我怎麼	c=1 d=1 t=14
wu 	無	c=1 d=1 t=213
wu biao ti 	無標題	c=1 d=1 t=217
wu chen 	無塵	c=1 d=1 t=80
wu jian 	無間	c=0 d=0.1 t=213
xi ti 	習題	c=0 d=0.1 t=63
xi tong 	系統	c=1 d=0.952144 t=169
xi tong zi ti 	系統字體	c=1 d=1 t=170
xia 	瞎	c=1 d=1 t=99
xia zai 	下載	c=1 d=1 t=243
xian 	先	c=0 d=0.1 t=64
xian shi 	顯示	c=1 d=1 t=209
xian zai 	現在	c=1 d=1 t=147
xian zhe mei shi 	閒着沒事	c=1 d=1 t=129
xiao 	小	c=0 d=0.1 t=281
xiao chu 	消除	c=1 d=1 t=153
xiao guo 	效果	c=1 d=1 t=236
xiao he shuang pin 	小鶴雙拼	c=1 d=1 t=282
xiu gai 	修改	c=0 d=0.1 t=154
xuan xiang 	選項	c=0 d=0.1 t=237
xue jie 	學姐	c=1 d=1 t=61
xue xiao 	學校	c=1 d=1 t=37
ya hei 	雅黑	c=0 d=0.1 t=211
yan zheng ma 	驗證碼	c=1 d=1 t=11
yao zai 	要在	c=1 d=1 t=158
