# Rime user dictionary
#@/db_name	ounei_copy
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	11579
#@/user_id	TAKUSEI-DESKTOP
b;[ah 	柄	c=1 d=1 t=8048
bk[bk le[vu 	包了	c=1 d=1 t=4543
bk[bk wz[ww 	包圍	c=1 d=1 t=6326
bk[fb qm[bd 	抱歉	c=1 d=1 t=6838
bk[fe co[jg 	報錯	c=2 d=1 t=8974
bk[fe ib[yd 	報酬	c=0 d=0.1 t=8772
bk[fe ib[yd jn[rw 	報酬金	c=1 d=1 t=8773
bk[ho 	爆	c=1 d=1 t=3803
bk[ho bk[ho bk[ho 	爆爆爆	c=1 d=1 t=8929
bk[ho fa[vy 	爆發	c=1 d=1 t=9128
bk[ho uh[rr 	爆傷	c=3 d=2.82376 t=8912
bk[ho va[hv 	爆炸	c=1 d=1 t=11115
bk[og ji[fk 	暴擊	c=6 d=5.59005 t=8917
bk[og ji[fk ly[wu 	暴擊率	c=1 d=1 t=7371
bk[og xt[yx 	暴雪	c=4 d=3.41201 t=3300
bk[rk lq[pt 	保留	c=1 d=1 t=7544
bk[rk ub[gc 	保守	c=1 d=1 t=4783
bk[rk vf[uj 	保真	c=2 d=1.01984 t=2449
bk[rk vg[yh 	保證	c=1 d=1 t=10936
bk[rk xm[er 	保險	c=1 d=1 t=8774
bk[ub he[hk du[gn 	飽和度	c=1 d=1 t=2258
bk[xd yi[sr 	剝以	c=1 d=1 t=3248
bl[bw gz[sr 	敗給	c=1 d=1 t=1073
bl[eo li[ot 	百里	c=1 d=1 t=2
bl[fh bl[fh 	拜拜	c=1 d=1 t=7497
bl[fs 	擺	c=3 d=1 t=8115
bl[fs bl[fs 	擺擺	c=1 d=1 t=4066
bl[po tm[hd 	白天	c=1 d=1 t=4186
bl[po uv[uu 	白水	c=2 d=1.03142 t=9002
bl[po uv[uu tm[hd he[dk 	白水天河	c=1 d=1 t=8639
bm[hz di[ty kl[hc hw[cr 	遍地開花	c=1 d=1 t=3387
bm[lz 	邊	c=1 d=1 t=9807
bm[lz ju[zk 	邊距	c=0 d=0.1 t=10319
bm[lz yr[sv 	邊緣	c=2 d=1 t=4796
bm[rh 	便	c=5 d=1.84329 t=6047
bm[rh bm[rh 	便便	c=2 d=1.9802 t=1824
bm[rh ng[sb 	便能	c=0 d=0.1 t=3111
bm[rh ng[sb ho[cq de[ro 	便能獲得	c=1 d=1 t=3112
bm[sh ji[ik 	編輯	c=1 d=1 t=8499
bm[sh ji[ik qi[kq 	編輯器	c=1 d=1 t=4538
bm[sh yi[yy 	編譯	c=1 d=1 t=5433
bm[yy da[hr 	變大	c=1 d=1 t=4673
bm[yy de[ro 	變得	c=1 d=1 t=10449
bm[yy hs[sg 	變紅	c=1 d=1 t=4502
bm[yy ig[wv 	變成	c=9 d=1.01508 t=7376
bm[yy wz[dl 	變爲	c=1 d=1 t=11528
bn[ww 	斌	c=1 d=1 t=8667
bo[ab ln[aa 	柏林	c=2 d=1.9602 t=3226
bo[ab ln[aa jx[dd ui[py 	柏林解釋	c=1 d=1 t=3227
bo[fp 	播	c=5 d=3.4221 t=9570
bo[ou zi[lh 	脖子	c=1 d=0.100003 t=11364
bo[ou zi[lh cu[mq 	脖子粗	c=1 d=1 t=11365
bo[rb 	伯	c=2 d=1.00018 t=11171
bo[rb ke[ge li[hd 	伯克利	c=2 d=1.86071 t=3148
bo[wp li[ww 	玻璃	c=1 d=1 t=6345
bu[eu 	不	c=7 d=1.44902 t=11576
bu[eu bl[bw 	不敗	c=2 d=1.956 t=4088
bu[eu bu[eu bu[eu 	不不不	c=1 d=1 t=9727
bu[eu bz[yp 	不被	c=2 d=1 t=5718
bu[eu co[jg 	不錯	c=1 d=1 t=8412
bu[eu cp[uz zl[ut 	不存在	c=3 d=1.96079 t=5774
bu[eu da[hr 	不大	c=3 d=1.27373 t=5431
bu[eu db[te ui[op 	不都是	c=1 d=1 t=3002
bu[eu de[ro bu[eu 	不得不	c=1 d=1 t=10513
bu[eu dk[hd 	不到	c=5 d=2.28406 t=10688
bu[eu dr[mj 	不斷	c=1 d=1 t=10746
bu[eu dr[mj wj[ge uj[yk 	不斷完善	c=1 d=1 t=3313
bu[eu ds[el 	不動	c=1 d=1 t=7850
bu[eu ds[xc 	不懂	c=1 d=1 t=48
bu[eu dv[yc 	不對	c=4 d=1 t=7470
bu[eu dv[yc ba[kb 	不對吧	c=1 d=1 t=6563
bu[eu fu[vr 	不符	c=1 d=1 t=3226
bu[eu fu[vr he[rh 	不符合	c=1 d=1 t=4836
bu[eu gb[bx 	不夠	c=3 d=1 t=4779
bu[eu gj[vw 	不敢	c=0 d=0.1 t=2872
bu[eu gk[wk 	不高	c=3 d=1.99005 t=9477
bu[eu go[cz 	不過	c=7 d=2.18378 t=10096
bu[eu gr[bt 	不關	c=1 d=1 t=10129
bu[eu gr[vg 	不管	c=1 d=1 t=4272
bu[eu gz[sr 	不給	c=1 d=1 t=10019
bu[eu he[rh ge[aw 	不合格	c=1 d=1 t=10988
bu[eu hk[nz 	不好	c=4 d=0.439596 t=9819
bu[eu hk[nz jd[ye 	不好講	c=1 d=1 t=9820
bu[eu hk[nz uo[yb 	不好說	c=1 d=0.100002 t=10011
bu[eu hv[re 	不會	c=11 d=1.46767 t=11067
bu[eu hv[re y;[op xd[kp 	不會影響	c=1 d=1 t=7252
bu[eu hv[wk 	不回	c=2 d=1.06425 t=9781
bu[eu iu[ck 	不出	c=1 d=1 t=2550
bu[eu ji[dx 	不急	c=1 d=1 t=8867
